@timestamp,@message
2019-10-02 14:20:31.827,Uploaded 3 files for checkpoint 70
2019-10-02 14:20:31.827,INFO:tensorflow:Froze 11 variables.
2019-10-02 14:20:31.827,INFO:tensorflow:Converted 11 variables to const ops.
2019-10-02 14:20:31.827,saved intermediate frozen graph: DeepRacer-SageMaker-RoboMaker-comm-940645781828-20191002101606-898fc6a6-c07b-430d-a1e9-9f86ac4172c2/model/model_70.pb
2019-10-02 14:20:28.826,"Policy training> Surrogate loss=-0.09455987066030502, KL divergence=0.06008188799023628, Entropy=0.9619999527931213, training epoch=9, learning_rate=3e-05"
2019-10-02 14:20:28.826,Checkpoint> Saving in path=['./checkpoint/70_Step-112838.ckpt']
2019-10-02 14:20:13.014,"Policy training> Surrogate loss=-0.09113054722547531, KL divergence=0.05674266815185547, Entropy=0.9708907604217529, training epoch=8, learning_rate=3e-05"
2019-10-02 14:19:57.895,"Policy training> Surrogate loss=-0.08882192522287369, KL divergence=0.052716974169015884, Entropy=0.9773287773132324, training epoch=7, learning_rate=3e-05"
2019-10-02 14:19:42.355,"Policy training> Surrogate loss=-0.08291217684745789, KL divergence=0.053578052669763565, Entropy=0.9803560376167297, training epoch=6, learning_rate=3e-05"
2019-10-02 14:19:26.820,"Policy training> Surrogate loss=-0.07817550003528595, KL divergence=0.05134481191635132, Entropy=0.9886428117752075, training epoch=5, learning_rate=3e-05"
2019-10-02 14:19:11.564,"Policy training> Surrogate loss=-0.07277252525091171, KL divergence=0.05066557601094246, Entropy=1.0191377401351929, training epoch=4, learning_rate=3e-05"
2019-10-02 14:18:55.118,"Policy training> Surrogate loss=-0.06626638770103455, KL divergence=0.04921131581068039, Entropy=1.01876699924469, training epoch=3, learning_rate=3e-05"
2019-10-02 14:18:39.794,"Policy training> Surrogate loss=-0.05272362008690834, KL divergence=0.05391751602292061, Entropy=1.0265969038009644, training epoch=2, learning_rate=3e-05"
2019-10-02 14:18:24.144,"Policy training> Surrogate loss=-0.02820674143731594, KL divergence=0.06556794792413712, Entropy=1.031825065612793, training epoch=1, learning_rate=3e-05"
2019-10-02 14:18:08.885,"Policy training> Surrogate loss=0.015617536380887032, KL divergence=0.030932903289794922, Entropy=1.0339890718460083, training epoch=0, learning_rate=3e-05"
2019-10-02 14:17:50.857,"Training> Name=main_level/agent, Worker=0, Episode=1400, Total reward=40.43, Steps=112838, Training iteration=69"
2019-10-02 14:17:44.848,"Training> Name=main_level/agent, Worker=0, Episode=1399, Total reward=54.85, Steps=112760, Training iteration=69"
2019-10-02 14:17:36.846,"Training> Name=main_level/agent, Worker=0, Episode=1398, Total reward=162.03, Steps=112642, Training iteration=69"
2019-10-02 14:17:22.842,"Training> Name=main_level/agent, Worker=0, Episode=1397, Total reward=66.26, Steps=112447, Training iteration=69"
2019-10-02 14:17:11.838,"Training> Name=main_level/agent, Worker=0, Episode=1396, Total reward=141.08, Steps=112294, Training iteration=69"
2019-10-02 14:16:54.834,"Training> Name=main_level/agent, Worker=0, Episode=1395, Total reward=37.95, Steps=112043, Training iteration=69"
2019-10-02 14:16:48.832,"Training> Name=main_level/agent, Worker=0, Episode=1394, Total reward=85.73, Steps=111959, Training iteration=69"
2019-10-02 14:16:36.829,"Training> Name=main_level/agent, Worker=0, Episode=1393, Total reward=112.57, Steps=111792, Training iteration=69"
2019-10-02 14:16:20.825,"Training> Name=main_level/agent, Worker=0, Episode=1392, Total reward=165.21, Steps=111562, Training iteration=69"
2019-10-02 14:16:04.820,"Training> Name=main_level/agent, Worker=0, Episode=1391, Total reward=44.75, Steps=111329, Training iteration=69"
2019-10-02 14:15:57.818,"Training> Name=main_level/agent, Worker=0, Episode=1390, Total reward=8.48, Steps=111228, Training iteration=69"
2019-10-02 14:15:55.818,"Training> Name=main_level/agent, Worker=0, Episode=1389, Total reward=100.13, Steps=111211, Training iteration=69"
2019-10-02 14:15:38.812,"Training> Name=main_level/agent, Worker=0, Episode=1388, Total reward=123.87, Steps=110958, Training iteration=69"
2019-10-02 14:15:20.807,"Training> Name=main_level/agent, Worker=0, Episode=1387, Total reward=21.23, Steps=110701, Training iteration=69"
2019-10-02 14:15:15.806,"Training> Name=main_level/agent, Worker=0, Episode=1386, Total reward=25.14, Steps=110639, Training iteration=69"
2019-10-02 14:15:10.804,"Training> Name=main_level/agent, Worker=0, Episode=1385, Total reward=17.29, Steps=110572, Training iteration=69"
2019-10-02 14:15:06.803,"Training> Name=main_level/agent, Worker=0, Episode=1384, Total reward=204.92, Steps=110517, Training iteration=69"
2019-10-02 14:14:51.798,"Training> Name=main_level/agent, Worker=0, Episode=1383, Total reward=33.25, Steps=110299, Training iteration=69"
2019-10-02 14:14:45.796,"Training> Name=main_level/agent, Worker=0, Episode=1382, Total reward=122.67, Steps=110237, Training iteration=69"
2019-10-02 14:14:30.792,"Training> Name=main_level/agent, Worker=0, Episode=1381, Total reward=136.39, Steps=110020, Training iteration=69"
2019-10-02 14:14:13.788,Uploaded 3 files for checkpoint 69
2019-10-02 14:14:13.788,INFO:tensorflow:Froze 11 variables.
2019-10-02 14:14:13.788,INFO:tensorflow:Converted 11 variables to const ops.
2019-10-02 14:14:13.788,saved intermediate frozen graph: DeepRacer-SageMaker-RoboMaker-comm-940645781828-20191002101606-898fc6a6-c07b-430d-a1e9-9f86ac4172c2/model/model_69.pb
2019-10-02 14:14:11.787,Checkpoint> Saving in path=['./checkpoint/69_Step-109795.ckpt']
2019-10-02 14:14:10.786,"Policy training> Surrogate loss=-0.08346044272184372, KL divergence=0.055505700409412384, Entropy=0.999538779258728, training epoch=9, learning_rate=3e-05"
2019-10-02 14:13:54.390,"Policy training> Surrogate loss=-0.08346804976463318, KL divergence=0.05402292311191559, Entropy=0.9975408911705017, training epoch=8, learning_rate=3e-05"
2019-10-02 14:13:37.603,"Policy training> Surrogate loss=-0.07658279687166214, KL divergence=0.0517374612390995, Entropy=1.0078319311141968, training epoch=7, learning_rate=3e-05"
2019-10-02 14:13:20.134,"Policy training> Surrogate loss=-0.07540176063776016, KL divergence=0.04999398812651634, Entropy=1.0159683227539062, training epoch=6, learning_rate=3e-05"
2019-10-02 14:13:03.242,"Policy training> Surrogate loss=-0.07004670053720474, KL divergence=0.04972141608595848, Entropy=1.0230331420898438, training epoch=5, learning_rate=3e-05"
2019-10-02 14:12:46.943,"Policy training> Surrogate loss=-0.06332503259181976, KL divergence=0.047785405069589615, Entropy=1.028262734413147, training epoch=4, learning_rate=3e-05"
2019-10-02 14:12:30.166,"Policy training> Surrogate loss=-0.0565071776509285, KL divergence=0.04640056937932968, Entropy=1.0506740808486938, training epoch=3, learning_rate=3e-05"
2019-10-02 14:12:13.839,"Policy training> Surrogate loss=-0.0465187169611454, KL divergence=0.05278816074132919, Entropy=1.0460625886917114, training epoch=2, learning_rate=3e-05"
2019-10-02 14:11:56.362,"Policy training> Surrogate loss=-0.02814769744873047, KL divergence=0.06188086420297623, Entropy=1.042048454284668, training epoch=1, learning_rate=3e-05"
2019-10-02 14:11:39.821,"Policy training> Surrogate loss=0.029402241110801697, KL divergence=0.041940636932849884, Entropy=1.028433084487915, training epoch=0, learning_rate=3e-05"
2019-10-02 14:11:20.519,"Training> Name=main_level/agent, Worker=0, Episode=1380, Total reward=50.54, Steps=109795, Training iteration=68"
2019-10-02 14:11:12.517,"Training> Name=main_level/agent, Worker=0, Episode=1379, Total reward=38.83, Steps=109686, Training iteration=68"
2019-10-02 14:11:05.515,"Training> Name=main_level/agent, Worker=0, Episode=1378, Total reward=177.42, Steps=109586, Training iteration=68"
2019-10-02 14:10:49.510,"Training> Name=main_level/agent, Worker=0, Episode=1377, Total reward=134.42, Steps=109352, Training iteration=68"
2019-10-02 14:10:33.506,"Training> Name=main_level/agent, Worker=0, Episode=1376, Total reward=146.08, Steps=109112, Training iteration=68"
2019-10-02 14:10:15.501,"Training> Name=main_level/agent, Worker=0, Episode=1375, Total reward=72.46, Steps=108864, Training iteration=68"
2019-10-02 14:10:05.498,"Training> Name=main_level/agent, Worker=0, Episode=1374, Total reward=201.19, Steps=108709, Training iteration=68"
2019-10-02 14:09:48.493,"Training> Name=main_level/agent, Worker=0, Episode=1373, Total reward=116.11, Steps=108472, Training iteration=68"
2019-10-02 14:09:32.488,"Training> Name=main_level/agent, Worker=0, Episode=1372, Total reward=181.33, Steps=108243, Training iteration=68"
2019-10-02 14:09:18.484,"Training> Name=main_level/agent, Worker=0, Episode=1371, Total reward=28.44, Steps=108033, Training iteration=68"
2019-10-02 14:09:12.482,"Training> Name=main_level/agent, Worker=0, Episode=1370, Total reward=89.65, Steps=107973, Training iteration=68"
2019-10-02 14:08:58.478,"Training> Name=main_level/agent, Worker=0, Episode=1369, Total reward=83.79, Steps=107773, Training iteration=68"
2019-10-02 14:08:42.474,"Training> Name=main_level/agent, Worker=0, Episode=1368, Total reward=13.62, Steps=107534, Training iteration=68"
2019-10-02 14:08:39.473,"Training> Name=main_level/agent, Worker=0, Episode=1367, Total reward=115.26, Steps=107498, Training iteration=68"
